,,wer,cer,time
,,mean,mean,mean
duration,model,,,
10min,Hviske-v2,16.428571428571427,16.83783783783784,5.830275774002075
10min,Hviske-tiske,28.142857142857142,24.56756756756757,0.473142147064209
10min,faster-whisper-large-v3-turbo-ct2,85.14285714285714,67.8108108108108,0.48421406745910645
10s,Hviske-v2,0.14285714285714285,0.10810810810810811,0.3973197937011719
10s,Hviske-tiske,0.14285714285714285,0.10810810810810811,0.18291306495666504
10s,faster-whisper-large-v3-turbo-ct2,2.7142857142857144,1.8918918918918919,0.17572999000549316
1min,Hviske-v2,1.0,0.8648648648648649,0.6999969482421875
1min,Hviske-tiske,1.1428571428571428,0.8918918918918919,0.18829727172851562
1min,faster-whisper-large-v3-turbo-ct2,6.285714285714286,4.5675675675675675,0.1884477138519287
30min,Hviske-v2,50.714285714285715,52.513513513513516,17.30275583267212
30min,Hviske-tiske,59.57142857142857,51.83783783783784,1.1368858814239502
30min,faster-whisper-large-v3-turbo-ct2,223.42857142857142,190.83783783783784,0.994936466217041
30s,Hviske-v2,0.14285714285714285,0.10810810810810811,0.40053296089172363
30s,Hviske-tiske,0.14285714285714285,0.10810810810810811,0.18270492553710938
30s,faster-whisper-large-v3-turbo-ct2,2.857142857142857,1.9189189189189189,0.17844772338867188
5s,Hviske-v2,0.14285714285714285,0.10810810810810811,0.7266137599945068
5s,Hviske-tiske,0.14285714285714285,0.10810810810810811,0.16405749320983887
5s,faster-whisper-large-v3-turbo-ct2,0.2857142857142857,0.16216216216216217,0.18422555923461914
